accommodates,bathrooms,bedrooms,beds,price
2,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,45.0
1,1.0,1.0,1.0,45.0
5,1.0,2.0,3.0,150.0
4,1.0,1.0,1.0,175.0
2,1.0,1.0,1.0,110.0
8,1.0,2.0,3.0,275.0
2,1.0,1.0,1.0,57.0
1,1.0,1.0,1.0,45.0
5,1.0,1.0,3.0,185.0
2,1.0,1.0,1.0,75.0
5,1.0,1.0,3.0,135.0
4,1.0,2.0,2.0,130.0
3,1.0,1.0,1.0,110.0
4,1.0,1.0,1.0,120.0
2,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,112.0
4,1.0,1.0,2.0,125.0
4,1.0,1.0,2.0,125.0
2,1.0,1.0,1.0,74.0
2,2.0,1.0,1.0,65.0
4,1.0,1.0,2.0,45.0
1,1.0,1.0,1.0,43.0
1,1.0,1.0,1.0,44.0
2,1.0,1.0,1.0,110.0
4,1.0,1.0,1.0,125.0
1,1.0,1.0,1.0,100.0
2,1.5,1.0,1.0,49.0
1,1.0,1.0,1.0,49.0
1,1.0,1.0,2.0,585.0
5,1.0,1.0,1.0,50.0
2,1.0,1.0,1.0,60.0
1,1.0,1.0,1.0,45.0
2,1.0,1.0,1.0,149.0
4,1.0,1.0,2.0,175.0
2,1.0,1.0,1.0,59.0
9,1.0,3.0,5.0,275.0
2,1.0,2.0,1.0,180.0
4,1.0,1.0,1.0,125.0
6,1.0,3.0,3.0,250.0
2,1.0,1.0,1.0,59.0
3,1.0,1.0,2.0,130.0
2,1.0,1.0,1.0,60.0
3,1.0,1.0,1.0,125.0
2,1.0,1.0,1.0,77.0
1,1.0,1.0,1.0,50.0
4,1.0,1.0,1.0,50.0
6,1.0,2.0,4.0,250.0
2,2.0,1.0,1.0,75.0
2,1.0,1.0,1.0,65.0
